Tên công ty,Ngành nghề,Năm kinh nghiệm,Vị trí làm việc,Số lượng nhân viên,Lương,Mô tả công việc,Yêu cầu công việc,Logo,Link ứng tuyển
Công ty TNHH Địa ốc Nhà Đại Phát,Chuyên môn Thiết kế đồ họa (Graphic Design),1 năm,Hồ Chí Minh,25-99 nhân viên,10 - 12 triệu,"Phát triển ý tưởng và thiết kế các ấn phẩm quảng cáo như poster, banner, template... trên các kênh digital marketing.
Thiết kế các ấn phẩm in ấn như leaflet, brochure, backdrop, standee..
Phát triển và xây dựng hệ thống nhận dạng thương hiệu.
Đóng góp ý tưởng, tham gia tổ chức các hoạt động Truyền thông, Sự kiện của công ty và các công việc hỗ trợ khác theo sự phân công của Quản lý.","Có khả năng edit video cơ bản
Sử dụng thành thạo phần mềm Ps, Ai, Pr (biết dùng Ae cơ bản)
Có gu thẩm mỹ
Style thiết kế sang trọng
Sức khoẻ tốt
Đặc biệt lĩnh vực bất động sản
Có khả năng làm việc nhóm
Ưu tiên mới ra trường
Có thiết bị làm việc cá nhân, làm việc tại văn phòng",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-dia-oc-nha-dai-phat-5c85ce12e7efd_rs.jpg,https://www.topcv.vn/viec-lam/graphic-designer-thiet-ke-do-hoa-1-nam-kinh-nghiem-binh-thanh-tp-ho-chi-minh/1722889.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
N/A,Chuyên môn Software Engineer IT - Phần mềm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.topcv.vn/brand/topcv/tuyen-dung/php-technical-leader-j1718081.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
CÔNG TY TNHH NEXFUN,Chuyên môn Thiết kế đồ họa (Graphic Design) Thiết kế / Kiến trúc,1 năm,Hồ Chí Minh,25-99 nhân viên,15 - 25 triệu,"Chịu trách nhiệm thiết kế và sản xuất video quảng cáo game, tạo ra nội dung quảng cáo thu hút với tỷ lệ chuyển đổi và nhấp chuột cao.
Tùy chỉnh video sáng tạo phù hợp với nhu cầu bản địa hóa cho các thị trường khác nhau (Brazil, Ấn Độ, Philippines, Bangladesh, v.v.).
Nghiên cứu xu hướng quảng cáo của đối thủ cạnh tranh trong ngành game, tối ưu hóa hiệu ứng hình ảnh, không ngừng nâng cao tỷ lệ nhấp chuột và tỷ lệ hoàn thành lượt xem.
Phối hợp với đội ngũ marketing và vận hành để thực hiện A/B testing video, phân tích phản hồi dữ liệu và tối ưu hóa hiệu quả quảng cáo.","Tốt nghiệp cao đẳng trở lên, chuyên ngành Sản xuất phim, Thiết kế hoạt hình, Truyền thông thị giác hoặc các ngành liên quan.
Có từ một năm kinh nghiệm thiết kế video trở lên, ưu tiên ứng viên có kinh nghiệm trong quảng cáo game. Cần cung cấp sản phẩm tiêu biểu nhất.
Thành thạo After Effects, Premiere, Photoshop, có thể tự mình hoàn thành video quảng cáo game (biết C4D, Blender, CapCut là một lợi thế).
Có khả năng sáng tạo mạnh mẽ, giỏi phân tích tâm lý người chơi game, tạo ra nội dung video hấp dẫn hơn.
Có tinh thần làm việc nhóm và kỹ năng giao tiếp tốt, có thể thích nghi với môi trường làm việc nhanh và nhiều vòng lặp chỉnh sửa.
Có kỹ năng xuất sắc về dựng phim, hiệu ứng động và hiệu ứng hình ảnh, có thể tạo ra video quảng cáo game chất lượng cao.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/0kvrihGw7jpWHkWIPy6X4eX0BNT4STNR_1730343412____489e24b97c1d251a3dc1cf154ba5f5ad.jpg,https://www.topcv.vn/viec-lam/motion-graphic-design-thiet-ke-do-hoa-chuyen-dong/1727828.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ NINA,Chuyên môn Sales IT Phần mềm khác B2B B2C IT - Phần mềm Bán lẻ - Hàng tiêu dùng - FMCG Thương mại điện tử Có hỗ trợ Data,Không yêu cầu,Hồ Chí Minh,1000+ nhân viên,10 - 35 triệu,"•Liên hệ cho khách hàng dựa trên data được cấp, và đặt lịch hẹn.
•Tư vấn về sản phẩm, dịch vụ thiết kế website và ký hợp đồng (online hoặc offline).Tăng nhận diện thương hiệu và doanh thu
•Tư vấn, giải đáp thắc mắc của khách hàng về màu sắc bố cục của sản phẩm và dịch vụ
•Phối hợp cùng bộ phận thiết kế, kinh doanh và các phòng ban liên quan để phát triển các chiến dịch quảng bá sáng tạo, hiệu quả.","•Tốt nghiệp Trung cấp/Cao đẳng/Đại học (ưu tiên các ngành Kinh doanh, Marketing, Quản trị,...)
•Có kỹ năng giao tiếp tốt, xử lý tình huống linh hoạt
•Có tinh thần trách nhiệm, chủ động trong công việc.
• Ưu tiên ứng viên có kinh nghiệm trong lĩnh vực kinh doanh, telesales, CSKH (chưa có kinh nghiệm sẽ được đào tạo).",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/MUpCtcr0ZxQEgiN1Y1I59jJUc7EpL6wy_1679997963____824808461dc131b467aff4e4266d2d73.jpg,https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-thiet-ke-phan-mem-khong-yeu-cau-kinh-nghiem-thu-nhap-len-den-35-trieu/1721710.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
Công ty cổ phần iCheck,Chuyên môn Kinh doanh phần mềm Direct Sales Telesales Online Sales B2B IT - Phần mềm,Dưới 1 năm,"Hà Nội, Hồ Chí Minh",100-499 nhân viên,10 - 20 triệu,"- Tìm kiếm và mở rộng mối quan hệ với các cấp quản lý, giám đốc của các doanh nghiệp/hộ kinh doanh thông qua nguồn data từ công ty và các kênh online/trực tiếp.
- Khai thác thông tin về vấn đề và mong muốn của khách hàng để tư vấn các giải pháp dịch vụ phù hợp với doanh nghiệp thông qua trao cuộc gọi điện thoại, gặp gỡ trực tiếp hoặc demo sản phẩm.
- Đưa ra phương án hợp tác và triển khai các giải pháp, dịch vụ với khách hàng.
- Phối hợp cùng các phòng ban, đảm bảo đem lại dịch vụ tốt nhất cho khách hàng trong suốt quá trình trước – trong – sau bán hàng.","- Có ít nhất 3 tháng kinh nghiệm bán hàng, kinh doanh,... ưu tiên các bạn đã có kinh nghiệm sale, telesale
- Năng động, nhiệt huyết, có định hướng phát triển lâu dài trong lĩnh vực kinh doanh
- Có laptop cá nhân
- Có khả năng tự học, ham học hỏi, phát triển và hoàn thiện bản thân
- Mong muốn cống hiến, đóng góp cho sự phát triển của xã hội",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-icheck-5eead4135770b.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-phan-mem-sale-b2b-nghi-thu-7-chu-nhat-thu-nhap-10-20m-tai-ha-noi-hcm/1716405.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
CÔNG TY CỔ PHẦN GIẢI PHÁP ĐIỆN TỬ VIỆT HỒNG QUANG,Chuyên môn Bán hàng kỹ thuật IT Direct Sales B2B An ninh mạng IT - Phần cứng và máy tính Nghỉ thứ 7,2 năm,Hồ Chí Minh,25-99 nhân viên,Thoả thuận,"- Tìm hiểu nhu cầu của khách hàng,phối hợρ phòng kỹ thuật giải thích, tư vấn và hướng dẫn cách sử dụng sản ρhẩm cũng như vấn đề liên quan kỹ thuật cho khách hàng.
- Tìm hiểu và nắm rõ thông tin các dự án đang thực hiện.
- Tập trung mảng khách hàng vừa và nhỏ
- Báo cáo công việc sales (daily report) lên người ρhụ trách trực tiếp
- Trao đổi thêm khi phỏng vấn.","- Tuổi từ 23-28 hoặc 1-2 năm kinh nghiệm vị trí nhân viên kinh doanh khách hàng doanh nghiệp
- Có khả năng giao tiếp tốt, nhanh nhẹn, khả năng xử lý tình huống tốt
- Ưu tiên ứng viên tốt nghiệp Cao đẳng, đại học chuyên ngành kinh tế
- Ưu tiên ứng viên có kiến thức về CNTT, yêu thích kinh doanh
- Ưu tiên ứng viên có khả năng tiếng Anh tốt",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/mPV5uoUa314ETy7Lgp8DcseDdsNwLlv9_1683770118____e72050e275b77aa609f150d64e1c172f.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-b2b-quan-1-tphcm/1597848.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
Công Ty TNHH Thương Mại Và Dịch Vụ NINA,Chuyên môn Kinh doanh phần mềm B2B B2C Thương mại điện tử Bán lẻ - Hàng tiêu dùng - FMCG Có hỗ trợ Data,Không yêu cầu,Hồ Chí Minh,100-499 nhân viên,10 - 32 triệu,"- Tư vấn khách hàng về thiết kế màu sắc, bố cục sản phẩm và các giải pháp dịch vụ phù hợp với yêu cầu khách hàng.
- Phối hợp với các bộ phận liên quan để triển khai chiến dịch quảng bá hiệu quả.
- Phát triển ý tưởng thiết kế giao diện website phù hợp với ngành nghề và yêu cầu của khách hàng.
- Hướng dẫn và bàn giao sản phẩm dịch vụ cho khách hàng khi sử dụng dịch vụ.
- Liên hệ và chăm sóc khách hàng tiềm năng (Công ty cung cấp dữ liệu hỗ trợ).","- Tốt nghiệp trung cấp trở lên
- Giao tiếp tốt, nhanh nhẹn, và có trách nhiệm trong công việc.
- Định hướng học hỏi và phát triển, yêu thích lĩnh vực Công nghệ, Thương Mại Điện Tử, F&B,...
- Có khả năng giao tiếp thuyết phục qua điện thoại và trực tiếp với khách hàng.
- Kinh nghiệm trong telesale, sale bất động sản, bảo hiểm, hoặc marketing online là một lợi thế.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/q0tB6MvkJFK5YRJN5C7wfTIOd9Ppjkme_1669600116____8c43cda8e85bd0e310ebf95d51fff238.jpeg,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-thiet-ke-website-thu-nhap-hap-dan-den-32-trieu/1721255.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
Công Ty TNHH LG CNS VIỆT NAM,Chuyên môn Frontend Developer Nghỉ thứ 7,3 năm,Hà Nội,100-499 nhân viên,Thoả thuận,"LG CNS is looking for qualified Front-end developer:
Design, develop, and maintain user interfaces for web applications.
Collaborate with UX/UI Designers to ensure intuitive and user-friendly interfaces.
Integrate APIs and back-end services to deliver full features.
Optimize interface performance (loading speed, cross-device compatibility).
Write clean, reusable, and maintainable code.
Analyze and troubleshoot front-end issues.
Stay updated and apply the latest technologies and frameworks.","[Required]
Have at least 3 years of experience (Prioritize high experience)
Experienced web / mobile application development
Can develop HTML, CSS, Javascript, jQuery
Can develop based on Vue.js
Experienced with collaboration tools like Git, Jira and Confluence
Understand and use CI/CD
TOEIC 450 or equivalent
[Preferred]
Understand Back-end
Use Typescript
Experienced with Node.js
Experienced with javascript charts (Echarts, Chart.js, d3js, etc.)
Experience using Tailwind, MUI
OAuth development experience
Korean communication
Team management experience",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/jkMAlgQm5lFqdCyFLoDEaN73aK2m8tsV_1739529025____7c4c1881c21831397e294ebc1c07e13b.jpg,https://www.topcv.vn/viec-lam/front-end-developer-vuejs-javascript-html/1715231.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN AN PHÁT,Chuyên môn Thiết kế đồ họa (Graphic Design) Bán lẻ - Hàng tiêu dùng - FMCG Marketing / Quảng cáo Sản xuất,Không yêu cầu,Hồ Chí Minh,25-99 nhân viên,10 - 16 triệu,"Thiết kế các ấn phẩm Social media như social post (Facebook, Tiktok, Zalo...), banner động, landing page,...
Thiết kế các ấn phẩm in ấn như Key visual, POSM (billboard, brochure, flyer, leaflet, backdrop, Standee...) để quảng bá cho các dự án và event,...
Graphic design 2D theo yêu cầu
Có khả năng edit video cơ bản
NƠI LÀM VIỆC:
286/1 Trần Hưng Đạo, P.Nguyễn Cư Trinh, Q.1","Có ít nhất 1 năm kinh nghiệm trong lĩnh vực thiết kế đồ họa, quay chụp sản phẩm, dựng video, ưu tiên kinh nghiệm trong ngành FMCG, FnB hoặc cà phê.
Thành thạo các phần mềm thiết kế và chỉnh sửa video như Photoshop, Illustrator, Canva, Capcut,...
Có tư duy thẩm mỹ, sáng tạo nội dung hình ảnh theo xu hướng nhưng vẫn đảm bảo định hướng thương hiệu.
Hiểu về bố cục, ánh sáng, màu sắc trong quay chụp, thiết kế hình ảnh và video.
Có kỹ năng làm việc nhóm, chủ động trong công việc và có trách nhiệm với deadline.
Ưu tiên ứng viên có kinh nghiệm quay chụp trong ngành F&B, cafe, trà sữa, đồ uống.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/7b899cb62d2b37e518aeefd5b8e070bf-628edb135b747.jpg,https://www.topcv.vn/viec-lam/thiet-ke-do-hoa-graphic-design-nganh-fnb-cafe/1718444.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
CÔNG TY CỔ PHẦN DỮ LIỆU TOÀN CẦU,Chuyên môn Kinh doanh Domain/Hosting/Server B2B Nghỉ thứ 7,Trên 5 năm,Hà Nội,100-499 nhân viên,12 - 30 triệu,"Tư vấn & cskh thuê dịch vụ Server
Lập hợp đồng dịch vụ
Chăm sóc khách hàng & phát triển mối quan hệ","Kinh nghiệm từ 5 năm
Độ tuổi từ 25 – 40t
Kiến thức xã hội phong phú, giao tiếp linh hoạt, chân thành và sáng tạo",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/67c515e7826ed1740969447.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-5-nam-kinh-nghiem-tai-ha-noi/1720862.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
CÔNG TY TNHH XUẤT NHẬP KHẨU HI SWEETIE VIỆT NAM,Chuyên môn Data Analyst,2 năm,Hồ Chí Minh,25-99 nhân viên,17 - 20 triệu,"• Thu thập, tổng hợp và làm sạch dữ liệu từ nhiều nguồn (ERP, CRM, Excel, hệ thống bán hàng...).
• Xây dựng, tối ưu và vận hành các pipeline dữ liệu phục vụ nhu cầu báo cáo, phân tích.
• Viết truy vấn SQL để khai thác và phân tích dữ liệu vận hành (bán hàng, kho vận, khách hàng, đơn hàng...).
• Phát triển báo cáo tự động, dashboard tương tác bằng Power BI phục vụ các phòng ban (Sales, Marketing, Operations...).
• Phối hợp với các phòng ban để hiểu nhu cầu dữ liệu, tư vấn và thiết kế các chỉ số KPIs phù hợp.
• Sử dụng Python để xử lý, phân tích dữ liệu chuyên sâu (ETL, xử lý dữ liệu lớn, xây dựng script tự động).
• Hỗ trợ xây dựng data dictionary, chuẩn hóa tên gọi, định nghĩa các chỉ số.
• Góp phần xây dựng nền tảng dữ liệu nội bộ (data warehouse cơ bản trong giai đoạn đầu).","• Có từ 2 năm kinh nghiệm thực tế trong vai trò Data Analyst hoặc các vị trí tương đương.
• Ưu tiên ứng viên có nền tảng học vấn về Tài chính, Kinh tế, Marketing.
• Đã từng tham gia vào dự án xây dựng hệ thống báo cáo từ đầu cho doanh nghiệp vừa và nhỏ.
• Có kiến thức nền về mô hình dữ liệu B2B, quy trình bán hàng, và vận hành kho trong lĩnh vực F&B.
• Có kinh nghiệm làm việc với các công cụ ETL (ví dụ: Airflow) hoặc các nền tảng Data Warehouse (ví dụ: BigQuery, Redshift) là lợi thế cộng thêm.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-xuat-nhap-khau-hi-sweetie-viet-nam-12cf69114c8181a43ac912e22c7defaf-6735aadca0f1a.jpg,https://www.topcv.vn/viec-lam/middle-data-analyst-tu-2-kinh-nghiem-tro-len/1717658.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG AWING VIỆT NAM,Chuyên môn System Engineer An ninh mạng IT - Phần cứng và máy tính Điện toán đám mây (Cloud) Nghỉ thứ 7,5 năm,Hà Nội,25-99 nhân viên,"1,000 - 1,600 USD","Vận hành hệ thống server vật lý, ảo hóa, các dịch vụ có sẵn tại DC
Tham gia thiết kế và triển khai hệ thống ảo hóa mới dùng cho nội bộ công ty
Cài đặt, triển khai, hoặc tự xây dựng các công cụ để tăng hiệu quả công việc
Nghiên cứu, đánh giá và đưa các phương án để tăng cường tính bảo mật cho các dịch vụ
Tham gia xây dựng tài liệu thiết kế hệ thống, tài liệu vận hành, đào tạo chuyển giao công nghệ
Hỗ trợ các bộ phận khác, các đối tác khác trong việc triển khai dịch vụ wi-fi marketing","Có ít nhất 5 năm kinh nghiệm tại vị trí tương đương.
Kiến thức tốt, vững vàng về networking (bắt buộc)
Hiểu biết tốt về HĐH Linux. Có kinh nghiệm trong việc cài đặt, vận hành và khắc phục sự cố đối với các dịch vụ trong môi trường Linux (bắt buộc)
Có kinh nghiệm trong việc cài đặt và vận hành hệ thống on-premise Kubernetes (bắt buộc)
Có hiểu biết về các công cụ như Ansible và Terraform là một lợi thế
Có kinh nghiệm trong linh vực bảo mật, có các chứng chỉ liên quan về system engineer là một lợi thế",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cHajROm2YJaKHAin5PlMNidCEfJA4XSe_1653384456____5f8e4d9fe212d9cd4d1da8057ac55afb.png,https://www.topcv.vn/viec-lam/senior-system-engineer-linux-networking/1684053.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
CÔNG TY TNHH DISCOVERY LOFT INC. VIỆT NAM,Chuyên môn Data Analyst,Không yêu cầu,Hồ Chí Minh,100-499 nhân viên,9.4 - 11 triệu,"Cơ Hội Tham Gia PAVE Với Vị Trí Nhân Viên Phân Tích Hình Ảnh
Trách Nhiệm Của Nhân Viên Kiểm Định Hình Ảnh:
Kiểm tra và phân loại hình ảnh xe bằng giao diện của PAVE.
Xác định và đánh dấu các bộ phận xe và các thiệt hại có thể thấy được.
Đào tạo các thành viên mới về cách sử dụng hệ thống hiệu quả.
Thực hiện các công việc khác liên quan đến nhiệm vụ và làm việc nhóm.","Tốt nghiệp đại học/cao đẳng.
Có khả năng làm việc ca ngày và ca đêm (luân phiên 2- 3 tháng/ca).
Sức khỏe tốt, không mắc bệnh về mắt như mù màu.
Tiếng Anh tốt là một lợi thế.
Có kinh nghiệm nhập liệu, từng làm nhân viên nhập liệu hoặc nhân viên văn phòng.
Thành thạo MS Office và các chương trình dữ liệu.
Có kinh nghiệm vẽ và thiết kế trên máy tính là một lợi thế lớn.
Kỹ năng gõ nhanh, chính xác, chú ý đến chi tiết.
Kỹ năng làm việc nhóm tốt.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/UpnU1MfcUWxwNlHGS8mjoeOTrA4SCUIh_1733817482____6eaa9dc481db761c9afe1085850329c2.jpg,https://www.topcv.vn/viec-lam/nhan-vien-phan-tich-hinh-anh/1718455.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI SẢN XUẤT NAM DON,Chuyên môn Thiết kế đồ họa (Graphic Design) May mặc / Thời trang Thiết kế / Kiến trúc,1 năm,Hồ Chí Minh,25-99 nhân viên,8 - 15 triệu,"• Thiết kế đồng phục thể thao theo yêu cầu khách hàng và bộ phận kinh doanh.
• Thiết kế hoa văn in lên áo và một số công việc cấp trên giao cho thiết kế
• Các công việc khác sẽ được trao đổi rõ hơn khi phỏng vấn","• Độ tuổi dưới 30 tuổi
• Tư duy sáng tạo, tinh thần cầu tiến và trách nhiệm
• Hiểu về bố cục, màu sắc, phối hợp hình ảnh. Ưu tiên ứng viên có gu thẩm mỹ thể thao/năng động.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/6819e4f0761be1746527472.jpg,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-do-hoa-ai-pts-khong-yeu-cau-kinh-nghiem-tai-ho-chi-minh/1718774.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
CÔNG TY TNHH LA BEAUTÉ,Chuyên môn Thiết kế đồ họa (Graphic Design) Marketing / Quảng cáo Thiết kế / Kiến trúc,Dưới 1 năm,Hồ Chí Minh,10-24 nhân viên,Thoả thuận,"- Thiết kế hình ảnh, social post cho các sản phẩm mỹ phẩm của Công ty.
- Lên ý tưởng, dựng video ngắn đăng Reel, Thread, Tiktok.
- Lên ý tưởng, thiết kế bao bì sản phẩm mới cho Công ty.
- Phối hợp cùng team MKT thiết kế banner cho các ngày sale, chiến dịch quảng bá trên sàn TMĐT.
- Thiết kế chi tiết các tài liệu công ty như: Catalogue, Leaflet, Poster, Web banner, Standee.... khi cần.
- Cập nhật, theo dõi các xu hướng mới nhất về ngành thiết kế/ sáng tạo nhằm tạo ra thành phẩm bắt mắt, có tính thẩm mỹ cao, thu hút khách hàng.","- Có kinh nghiệm graphic designer ít nhất 6 tháng và quay dựng chỉnh sửa video.
- Sử dụng thành thạo các phần mềm thiết kế như Adobe Illustrator, Photoshop,... và các ứng dụng liên quan.
- Có gu thẩm mỹ, nắm bắt nhanh, có tinh thần sáng tạo.
- Kỹ năng quay chụp là một lợi thế lớn.
- Chịu được áp lực cao trong công việc.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-la-beaute-9bf82835bf1d6a12f6584e84c9330c4b-668e45dced5d2.jpg,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-do-hoa-graphic-video-designer/1717957.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
Công ty Cổ Phần Công Nghệ Overate-Vntech,Chuyên môn Kinh doanh phần mềm Direct Sales Telesales B2B IT - Phần mềm Thực phẩm / Đồ uống Nhà hàng / Khách sạn Có hỗ trợ Data Diễn đạt trôi chảy,Dưới 1 năm,Hồ Chí Minh,100-499 nhân viên,15 - 30 triệu,"Chủ động tìm kiếm thông tin khách hàng tiềm năng chưa sử dụng bất kỳ sản phẩm phần mềm quản lý nhà hàng của Techres
Tiếp cận và tìm hiểu nhu cầu của khách hàng thông qua: điện thoại, email, trực tiếp...
Demo và tư vấn báo giá gói giải pháp phù hợp cho khách hàng
Đàm phán và chốt hợp đồng","Tốt nghiệp bắt buộc từ Cao đẳng trở lên
Chuyên ngành học: Quản trị kinh doanh, khối ngành kinh tế, quản trị nhà hàng, khách sạn, chuyên ngành tài chính.
Không yêu cầu kinh nghiệm đối với sinh viên mới ra trường học đúng chuyên ngành. Đối với ứng viên học trái ngành bắt buộc phải có kinh nghiệm tối thiểu 6 tháng làm nhân viên kinh doanh.
Ứng viên trong độ tuổi 21-28
Có phương tiện đi lại và không ngại di chuyển",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/A4fJirfXFESVK8eSKMTi1hu8pt30rhN0_1743587659____b585da3499e3ad06e9f4962f496e446d.png,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-hcm-di-lam-ngay-khong-thu-viec/1719483.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
JOYBIT,Chuyên môn Game Tester IT - Phần mềm,1 năm,Hà Nội,25-99 nhân viên,10 - 15 triệu,"Phân tích yêu cầu từ Game Design.
Thực hiện viết testcase / Check list
Execute test case / Checklist.
Phối hợp với developer và game designer để góp ý để improve tính năng sản phẩm.
Report bugs cho đội developer
Thực hiện các công việc đảm bảo chất lượng sản phẩm theo kế hoạch.","Có kinh nghiệm test từ 1 - 2 năm
Chủ động trong công việc.
Có kinh nghiệm sử dụng các công cụ quản lý công việc: Jira, trello, monday.
Có kinh nghiệm test game và đam mê game là 1 lợi thế.
Có kinh nghiệm làm việc với Unity là một lợi thế.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/pIYJ5csE4ZOfMBJV43akTRNDrEtuKiSH_1730861999____554784bcead0c771a31c2850af7ec661.png,https://www.topcv.vn/viec-lam/game-tester-level-junior/1675331.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
CÔNG TY CỔ PHẦN CÔNG NGHỆ SANDBOXVN,Chuyên môn Kinh doanh phần mềm B2B Có hỗ trợ Data,Dưới 1 năm,Hà Nội,25-99 nhân viên,8.5 - 15 triệu,"Nhận data khách hàng quan tâm từ công ty, chăm sóc và ký hợp đồng tái tục
Tìm kiếm và khai thác khách hàng tiềm năng có nhu cầu sử dụng phần mềm SandboxVN.
Tư vấn giải pháp, demo sản phẩm, đàm phán và ký kết hợp đồng.
Đào tạo khách hàng sử dụng hệ thống
Chăm sóc và duy trì mối quan hệ với khách hàng hiện có.
Phối hợp với các bộ phận liên quan (Marketing, CSKH, Kỹ thuật...) để hỗ trợ, đề xuất phát triển các tính năng phù hợp với yêu cầu khách hàng
Báo cáo hiệu quả công việc định kỳ theo yêu cầu của quản lý.
Sản phẩm kinh doanh:
PUSHSALE - Giải pháp tối ưu cho bán lẻ online
SANDBOXVN - Phần mềm chuyển đổi số toàn diện","Tốt nghiệp đại học các khối ngành Kinh Tế, Quản trị KD hoặc ngành có liên quan
Thành thạo kỹ năng văn phòng, giao tiếp tốt.
Yêu cầu có tối thiểu 3 tháng kinh nghiệm sale/ tư vấn KH, chấp nhận sinh viên đang chờ bằng
Yêu thích kinh doanh, thích ứng nhanh với công nghệ. Nhiệt huyết với lĩnh vực cung cấp phần mềm B2B và sẵn sàng đóng góp vào xu thế Enterprise 4.0.
Ưu tiên UV có kinh nghiệm trong lĩnh vực:
Phần mềm dịch vụ SaaS,
Các dịch vụ liên quan đến khách hàng B2B như: xây dựng, khóa học doanh nghiệp, dịch vụ tư vấn doanh nghiệp…
Bán các sản phẩm giá trị cao như bất động sản, xe hơi,...
Account tại Agency Marketing hoặc các dịch vụ tư vấn doanh nghiệp.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/3rgLYcma7wg126KwmBchxWAVCSJOHnOE_1740034656____0b1fc8adee7474fa2c0a73544fa62c4d.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-phan-mem-sales-b2b/1719169.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466319
